method,condition_label,direction,direction_display,source_accent,target_accent,source_id,source_path,target_path,target_ref_id,synthesis_path,expected_role,target_reference_was_conditioning,nisqa_mos,speaker_similarity,source_duration_sec,target_duration_sec,synthesis_duration_sec,selection_policy,source_item_id,quality_percentile,similarity_percentile,joint_rank,qid,display_index,page,cooldown_block,audio_a,audio_b,audio_x,audio,reference_a_role,reference_b_role,expected_choice,expected_accent
phonos,PHONOS,spn2ame,Spanish to American,spanish,american,SPE030,/data/waris/code/PHONOSv2/evaluation/final/spanish/EN_esEl7EWvNUE_SPEAKER_00/wav/EN_esEl7EWvNUE_W000046_0001.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/RMS.wav,RMS,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/spn2ame/SPE030/r6_epoch05/RMS.wav,target,True,4.0568686,0.8762235045433044,5.3,3.005,5.3,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,spn2ame::SPE030::r6_epoch05::RMS,0.375,0.625,0.375,Q021,21,5,2,audio/Q021_A.wav,audio/Q021_B.wav,audio/Q021_X.wav,audio/Q021_X.wav,target,source,A,A
phonos,PHONOS,spn2ame,Spanish to American,spanish,american,SPE056,/data/waris/code/PHONOSv2/evaluation/final/spanish/EN_xHHTlxYqRs4_SPEAKER_00/wav/EN_xHHTlxYqRs4_W000012.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/SLT.wav,SLT,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/spn2ame/SPE056/r1_epoch13/SLT.wav,target,True,4.5104537,0.8598881959915161,5.739,3.355,5.74,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,spn2ame::SPE056::r1_epoch13::SLT,0.625,0.375,0.375,Q022,22,5,2,audio/Q022_A.wav,audio/Q022_B.wav,audio/Q022_X.wav,audio/Q022_X.wav,source,target,B,B
tvtsyn,TVTSyn,ame2spn,GAE->SPE,american,spanish,1089-134686-0013,/data/waris/code/PHONOSv2/evaluation/final/american/1089/wav/1089-134686-0013.wav,/data/waris/code/PHONOSv2/evaluation/speakers/spn/ERMS.wav,ERMS,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/ame2spn/ERMS/1089/1089-134686-0013.wav,target,True,3.501785,0.8868200182914734,7.915,4.6580625,7.92,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::ame2spn::ERMS::1089::1089-134686-0013,,,,Q023,23,5,2,audio/Q023_A.wav,audio/Q023_B.wav,audio/Q023_X.wav,audio/Q023_X.wav,source,target,B,B
tvtsyn,TVTSyn,ame2spn,GAE->SPE,american,spanish,3575-170457-0047,/data/waris/code/PHONOSv2/evaluation/final/american/3575/wav/3575-170457-0047.wav,/data/waris/code/PHONOSv2/evaluation/speakers/spn/ERMS.wav,ERMS,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/ame2spn/ERMS/3575/3575-170457-0047.wav,target,True,3.998815,0.8774039149284363,6.525,4.6580625,6.54,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::ame2spn::ERMS::3575::3575-170457-0047,,,,Q024,24,5,2,audio/Q024_A.wav,audio/Q024_B.wav,audio/Q024_X.wav,audio/Q024_X.wav,source,target,B,B
seedvc,SeedVC,spn2ame,SPE->GAE,spanish,american,EN_esEl7EWvNUE_W000172_0001,/data/waris/code/PHONOSv2/evaluation/final/spanish/EN_esEl7EWvNUE_SPEAKER_00/wav/EN_esEl7EWvNUE_W000172_0001.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/RMS.wav,RMS,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/spn2ame/RMS/EN_esEl7EWvNUE_SPEAKER_00/EN_esEl7EWvNUE_W000172_0001.wav,target,True,4.5617223,0.8158288598060608,4.71,3.005,5.433469387755102,random after 4-8 second source/X filtering,seedvc::spn2ame::RMS::EN_esEl7EWvNUE_W000172_0001,,,,Q025,25,5,2,audio/Q025_A.wav,audio/Q025_B.wav,audio/Q025_X.wav,audio/Q025_X.wav,source,target,B,B
seedvc,SeedVC,bri2ame,BRE->GAE,british,american,som_09334_00160509601,/data/waris/code/PHONOSv2/evaluation/final/british/m_09334/wav/som_09334_00160509601.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/CLB.wav,CLB,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/bri2ame/CLB/m_09334/som_09334_00160509601.wav,target,True,4.8018923,0.789397120475769,4.096,3.685,4.725260770975057,random after 4-8 second source/X filtering,seedvc::bri2ame::CLB::som_09334_00160509601,,,,Q026,26,6,2,audio/Q026_A.wav,audio/Q026_B.wav,audio/Q026_X.wav,audio/Q026_X.wav,target,source,A,A
phonos,PHONOS,ame2spn,American to Spanish,american,spanish,AME001,/data/waris/code/PHONOSv2/evaluation/final/american/251/wav/251-118436-0005.wav,/data/waris/code/PHONOSv2/evaluation/speakers/spn/EBVS.wav,EBVS,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2spn/AME001/r6_epoch05/EBVS.wav,target,True,4.377942,0.8658831119537354,5.31,3.9139375,5.32,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,ame2spn::AME001::r6_epoch05::EBVS,1.0,0.5,0.5,Q027,27,6,2,audio/Q027_A.wav,audio/Q027_B.wav,audio/Q027_X.wav,audio/Q027_X.wav,target,source,A,A
phonos,PHONOS,bri2ame,British to American,british,american,BRE021,/data/waris/code/PHONOSv2/evaluation/final/british/m_06136/wav/som_06136_02095857453.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/CLB.wav,CLB,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/bri2ame/BRE021/r1_epoch13/CLB.wav,target,True,4.379778,0.8668904304504395,6.229375,3.685,6.24,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,bri2ame::BRE021::r1_epoch13::CLB,0.625,0.375,0.375,Q028,28,6,2,audio/Q028_A.wav,audio/Q028_B.wav,audio/Q028_X.wav,audio/Q028_X.wav,source,target,B,B
tvtsyn,TVTSyn,ame2bri,GAE->BRE,american,british,908-157963-0030,/data/waris/code/PHONOSv2/evaluation/final/american/908/wav/908-157963-0030.wav,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_04415.wav,slr83_southern_female_sof_04415,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/ame2bri/slr83_southern_female_sof_04415/908/908-157963-0030.wav,target,True,4.113427,0.8463138937950134,4.52,5.290666666666667,4.52,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::ame2bri::slr83_southern_female_sof_04415::908::908-157963-0030,,,,Q029,29,6,2,audio/Q029_A.wav,audio/Q029_B.wav,audio/Q029_X.wav,audio/Q029_X.wav,target,source,A,A
tvtsyn,TVTSyn,ind2ame,INE->GAE,indian,american,00004866_000003.v2.vad,/data/waris/code/PHONOSv2/evaluation/final/indian/S_008077/wav/00004866_000003.v2.vad.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/RMS.wav,RMS,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/ind2ame/RMS/S_008077/00004866_000003.v2.vad.wav,target,True,3.7014105,0.8400416374206543,4.7180625,3.005,4.72,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::ind2ame::RMS::S_008077::00004866_000003.v2.vad,,,,Q030,30,6,2,audio/Q030_A.wav,audio/Q030_B.wav,audio/Q030_X.wav,audio/Q030_X.wav,target,source,A,A
seedvc,SeedVC,ame2bri,GAE->BRE,american,british,7127-75947-0029,/data/waris/code/PHONOSv2/evaluation/final/american/7127/wav/7127-75947-0029.wav,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_04415.wav,slr83_southern_female_sof_04415,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_female_sof_04415/7127/7127-75947-0029.wav,target,True,2.971182,0.7803021669387817,5.285,5.290666666666667,5.375419501133787,random after 4-8 second source/X filtering,seedvc::ame2bri::slr83_southern_female_sof_04415::7127-75947-0029,,,,Q031,31,7,3,audio/Q031_A.wav,audio/Q031_B.wav,audio/Q031_X.wav,audio/Q031_X.wav,source,target,B,B
phonos,PHONOS,ame2bri,American to British,american,british,AME003,/data/waris/code/PHONOSv2/evaluation/final/american/652/wav/652-130737-0002.wav,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_08784.wav,slr83_southern_male_som_08784,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME003/r1_epoch13/slr83_southern_male_som_08784.wav,target,True,4.103218,0.8604927062988281,7.57,12.970666666666666,7.58,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,ame2bri::AME003::r1_epoch13::slr83_southern_male_som_08784,0.5,0.5,0.5,Q032,32,7,3,audio/Q032_A.wav,audio/Q032_B.wav,audio/Q032_X.wav,audio/Q032_X.wav,source,target,B,B
seedvc,SeedVC,ame2ind,GAE->INE,american,indian,908-157963-0027,/data/waris/code/PHONOSv2/evaluation/final/american/908/wav/908-157963-0027.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ind/Hindi0000.wav,Hindi0000,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2ind/Hindi0000/908/908-157963-0027.wav,target,True,3.7458198,0.6985308527946472,5.225,5.0,6.060408163265306,random after 4-8 second source/X filtering,seedvc::ame2ind::Hindi0000::908-157963-0027,,,,Q033,33,7,3,audio/Q033_A.wav,audio/Q033_B.wav,audio/Q033_X.wav,audio/Q033_X.wav,source,target,B,B
