condition,condition_label,source_index,audio,qid,display_index,page,cooldown_block,audio_filename,selected_source_path,selected_item_id,selected_method,selected_direction,selected_source_accent,selected_target_accent,selected_source_speaker_id,selected_utterance_id,selected_target_ref_id,selected_phonos_run,selected_accent_pred_label,selected_expected_tgt_label,selected_recall_tgt_hit,selected_nisqa_mos
PHONOS,PHONOS,7,audio/PHONOS_07.wav,Q024,24,5,2,PHONOS_07.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ame2bri/slr83_southern_female_sof_04415/2428/2428-83699-0031.wav,phonos::ame2bri::slr83_southern_female_sof_04415::2428-83699-0031,PHONOS,ame2bri,american,british,2428,2428-83699-0031,slr83_southern_female_sof_04415,full,british_isles,british_isles,1,4.9424243
seedvc,SeedVC,6,audio/seedvc_06.wav,Q025,25,5,2,seedvc_06.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_female_sof_03397/121/121-121726-0000.wav,seedvc::ame2bri::slr83_southern_female_sof_03397::121::121-121726-0000,seedvc,ame2bri,ame,bri,121,121-121726-0000,slr83_southern_female_sof_03397,,,,,
PHONOS,PHONOS,8,audio/PHONOS_08.wav,Q026,26,6,2,PHONOS_08.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full_r1/ind2ame/SLT/S_009220/00365053_000025.v2.vad.wav,phonos::ind2ame::SLT::00365053_000025.v2.vad,PHONOS,ind2ame,indian,american,S_009220,00365053_000025.v2.vad,SLT,full_r1,north_american,north_american,1,4.9102416
seedvc,SeedVC,7,audio/seedvc_07.wav,Q027,27,6,2,seedvc_07.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2spn/NJS/1284/1284-1180-0025.wav,seedvc::ame2spn::NJS::1284::1284-1180-0025,seedvc,ame2spn,ame,spn,1284,1284-1180-0025,NJS,,,,,
TVTSyn,TVTSyn,8,audio/TVTSyn_08.wav,Q028,28,6,2,TVTSyn_08.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/spanish/EN_esEl7EWvNUE_SPEAKER_00/EN_esEl7EWvNUE_W000082.wav,tvtsyn::spanish::EN_esEl7EWvNUE_SPEAKER_00::EN_esEl7EWvNUE_W000082,TVTSyn,reconstruction,spanish,spanish,EN_esEl7EWvNUE_SPEAKER_00,EN_esEl7EWvNUE_W000082,,,,,,
seedvc,SeedVC,8,audio/seedvc_08.wav,Q029,29,6,2,seedvc_08.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/bri2ame/RMS/m_09334/som_09334_00578129209.wav,seedvc::bri2ame::RMS::m_09334::som_09334_00578129209,seedvc,bri2ame,bri,ame,m_09334,som_09334_00578129209,RMS,,,,,
PHONOS,PHONOS,9,audio/PHONOS_09.wav,Q030,30,6,2,PHONOS_09.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_015647/00323141_000021.v2.vad.wav,phonos::ind2ame::SLT::00323141_000021.v2.vad,PHONOS,ind2ame,indian,american,S_015647,00323141_000021.v2.vad,SLT,full,north_american,north_american,1,4.899768
TVTSyn,TVTSyn,9,audio/TVTSyn_09.wav,Q031,31,7,3,TVTSyn_09.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/spanish/EN_xHHTlxYqRs4_SPEAKER_00/EN_xHHTlxYqRs4_W000024.wav,tvtsyn::spanish::EN_xHHTlxYqRs4_SPEAKER_00::EN_xHHTlxYqRs4_W000024,TVTSyn,reconstruction,spanish,spanish,EN_xHHTlxYqRs4_SPEAKER_00,EN_xHHTlxYqRs4_W000024,,,,,,
original,Original speech,6,audio/original_06.wav,Q032,32,7,3,original_06.wav,/data/waris/code/PHONOSv2/evaluation/final/american/3000/wav/3000-15664-0003.wav,gt::american::3000-15664-0003,original,reference,american,american,3000,3000-15664-0003,,,,,,
seedvc,SeedVC,9,audio/seedvc_09.wav,Q033,33,7,3,seedvc_09.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2spn/NJS/1320/1320-122617-0028.wav,seedvc::ame2spn::NJS::1320::1320-122617-0028,seedvc,ame2spn,ame,spn,1320,1320-122617-0028,NJS,,,,,
original,Original speech,7,audio/original_07.wav,Q034,34,7,3,original_07.wav,/data/waris/code/PHONOSv2/evaluation/final/spanish/EN_K-AjGFxKPgk_SPEAKER_00/wav/EN_K-AjGFxKPgk_W000013_0000.wav,gt::spanish::EN_K-AjGFxKPgk_W000013_0000,original,reference,spanish,spanish,EN_K-AjGFxKPgk_SPEAKER_00,EN_K-AjGFxKPgk_W000013_0000,,,,,,
seedvc,SeedVC,10,audio/seedvc_10.wav,Q035,35,7,3,seedvc_10.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_female_sof_04415/672/672-122797-0066.wav,seedvc::ame2bri::slr83_southern_female_sof_04415::672::672-122797-0066,seedvc,ame2bri,ame,bri,672,672-122797-0066,slr83_southern_female_sof_04415,,,,,
original,Original speech,8,audio/original_08.wav,Q036,36,8,3,original_08.wav,/data/waris/code/PHONOSv2/evaluation/final/american/2035/wav/2035-152373-0013.wav,gt::american::2035-152373-0013,original,reference,american,american,2035,2035-152373-0013,,,,,,
